Raw Data
Month,Title_1,Title_2,Title_3,Title_4,Title_5,Title_6,Title_7,Title_8,Title_9,Title_10
January,Kobe_Bryant,Media,Coronavirus,Aaron_Hernandez,Qasem_Soleimani,Kobe_Bryant_sexual_assault_case,1917_(2019_film),The_Witcher_(TV_series),2019–20_Wuhan_coronavirus_outbreak,Billie_Eilish
February,United_States_Senate,Wikipedia,Parasite_(2019_film),2019–20_Wuhan_coronavirus_outbreak,Coronavirus,Shakira,Michael_Bloomberg,Pete_Buttigieg,Kobe_Bryant,Tyson_Fury
March,United_States_Senate,2019–20_coronavirus_pandemic,Coronavirus,2019–20_coronavirus_outbreak,Spanish_flu,Coronavirus_disease_2019,2020_coronavirus_pandemic_in_India,2020_coronavirus_pandemic_in_Italy,2020_coronavirus_pandemic_in_the_United_States,2019–20_coronavirus_pandemic_by_country_and_territory
April,United_States_Senate,2019–20_coronavirus_pandemic,Tasuku_Honjo,Kim_Jong-un,Joe_Exotic,2019–20_coronavirus_pandemic_by_country_and_territory,Irrfan_Khan,2020_coronavirus_pandemic_in_India,2020_coronavirus_pandemic_in_the_United_States,Carole_Baskin
May,Michael_Jordan,Elon_Musk,Bible,COVID-19_pandemic,Death_of_George_Floyd,Tasuku_Honjo,Deaths_in_2020,Grimes_(musician),Template:2019–20_coronavirus_pandemic_data,Antifa_(United_States)
June,Sushant_Singh_Rajput,Juneteenth,Bible,Antifa_(United_States),Killing_of_George_Floyd,Shooting_of_Breonna_Taylor,Jeffrey_Epstein,COVID-19_pandemic,Deaths_in_2020,George_Floyd
July,Alexander_Hamilton,Naya_Rivera,Hamilton_(musical),Bible,Kelly_Preston,Deaths_in_2020,Ghislaine_Maxwell,Jeffrey_Epstein,John_Lewis_(civil_rights_leader),Aaron_Burr
August,Kamala_Harris,Chadwick_Boseman,Bible,QAnon,The_Umbrella_Academy_(TV_series),Joe_Biden,Deaths_in_2020,Tenet_(film),Donald_Trump,Shakuntala_Devi
September,Ruth_Bader_Ginsburg,Amy_Coney_Barrett,Tenet_(film),Shooting_of_Breonna_Taylor,Dennis_Nilsen,Deaths_in_2020,Mulan_(2020_film),The_Boys_(2019_TV_series),Bible,Joe_Biden
October,The_Haunting_of_Bly_Manor,Bible,Eddie_Van_Halen,Watts_family_murders,Amy_Coney_Barrett,Joe_Biden,Kamala_Harris,Deaths_in_2020,Sean_Connery,Donald_Trump
November,Donald_Trump,Joe_Biden,Kamala_Harris,2020_United_States_presidential_election,2016_United_States_presidential_election,United_States_Electoral_College,The_Queen's_Gambit_(miniseries),Diego_Maradona,Elizabeth_II,"Diana,_Princess_of_Wales"
December,Elliot_Page,Elizabeth_II,Deaths_in_2020,Wonder_Woman_1984,Bible,"Princess_Margaret,_Countess_of_Snowdon",The_Queen's_Gambit_(miniseries),The_Mandalorian,Cyberpunk_2077,Donald_Trump
